filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_direction	alignment_length	alignment_num_aligned	alignment_num_correct	alignment_num_insertions	alignment_num_deletions	alignment_num_substitutions	alignment_mapq	alignment_strand_coverage	alignment_identity	alignment_accuracy	alignment_bed_hits
PBG64749_6b2c2a7a_f5b9d37a_26.pod5	76cfd9a7-93f5-4d28-bb20-d8d649624e9d	f5b9d37a6bda8a8d8f31f0d7b32ca6f19b945080	1377	3	17773.8	38.2614	17773.8	38.2594	22440	20.0912	unclassified	chr1	10000	30996	1397	22433	+	21194	20838	20601	198	158	237	60	0.937433	0.988627	0.97202	0
PBG64749_6b2c2a7a_f5b9d37a_50.pod5	3f8e34e4-be1f-4bf6-bd63-43917163fc71	f5b9d37a6bda8a8d8f31f0d7b32ca6f19b945080	2872	3	36339.4	88.6712	36339.5	88.5408	36582	27.975	unclassified	chr1	10000	43301	3117	36578	+	33532	33230	33005	231	71	225	60	0.914685	0.993229	0.984284	0
PBG64749_6b2c2a7a_f5b9d37a_118.pod5	27a38818-46d0-4481-918a-4ceb3be7763d	f5b9d37a6bda8a8d8f31f0d7b32ca6f19b945080	643	3	106999	19.137	106999	19.135	7795	11.5718	unclassified	chr1	10000	16974	524	7787	+	7525	6712	6461	551	262	251	26	0.931751	0.962604	0.858605	0
PBG64749_6b2c2a7a_f5b9d37a_131.pod5	b0f4db09-da5a-4917-aae5-fbd50ce582d3	f5b9d37a6bda8a8d8f31f0d7b32ca6f19b945080	1452	3	121831	10.0914	121831	10.0894	4297	17.5181	unclassified	chr1	10000	10468	3751	4172	+	475	414	412	7	54	2	1	0.0979753	0.995169	0.867368	0
PBG64749_6b2c2a7a_f5b9d37a_89.pod5	94fa8554-bf20-4a36-86fc-85b9ae11f023	f5b9d37a6bda8a8d8f31f0d7b32ca6f19b945080	2728	4	79774.3	49.4992	79774.4	49.4972	22460	23.8774	unclassified	chr1	10000	30349	2135	22453	+	20459	20208	20077	110	141	131	60	0.90463	0.993517	0.981328	0
PBG64749_6b2c2a7a_f5b9d37a_2.pod5	25bc3342-68d1-4dee-9237-ac1d59490620	f5b9d37a6bda8a8d8f31f0d7b32ca6f19b945080	880	4	2195.15	1.6358	2195.16	1.6338	506	24.8084	unclassified	chr1	10000	10418	52	474	-	430	410	398	12	8	12	1	0.833992	0.970732	0.925581	0
PBG64749_6b2c2a7a_f5b9d37a_3.pod5	dba4d3d0-a874-456d-938a-d8d0fa2f04c8	f5b9d37a6bda8a8d8f31f0d7b32ca6f19b945080	2432	1	2479.02	3.7494	2479.02	3.7474	507	19.5871	unclassified	chr1	10000	10423	82	506	-	430	417	411	7	6	6	1	0.836292	0.985611	0.955814	0
PBG64749_6b2c2a7a_f5b9d37a_34.pod5	300c882c-ae49-4956-b858-c0b748b330f0	f5b9d37a6bda8a8d8f31f0d7b32ca6f19b945080	1184	4	24206.7	55.0088	24206.8	54.912	24823	18.9273	unclassified	chr1	10000	32527	2300	24823	-	22744	22306	22067	217	221	239	60	0.907344	0.989285	0.970234	0
PBG64749_6b2c2a7a_f5b9d37a_55.pod5	1a93d6eb-fd7f-42d3-870b-a41563351ae5	f5b9d37a6bda8a8d8f31f0d7b32ca6f19b945080	2374	4	41816.7	71.5976	41816.8	71.472	27776	20.9343	unclassified	chr1	10000	35384	2351	27776	-	25595	25214	25021	211	170	193	60	0.915359	0.992346	0.977574	0
PBG64749_6b2c2a7a_f5b9d37a_59.pod5	5100267f-d7b4-49cf-8962-97a01d4f06bd	f5b9d37a6bda8a8d8f31f0d7b32ca6f19b945080	1410	4	46278.5	3.2588	46278.6	3.1296	1119	26.6579	unclassified	chr1	10000	10874	204	1104	-	919	855	842	45	19	13	45	0.80429	0.984795	0.916213	0
